지역,시군구,단지명,전용면적(㎡),계약년월,거래금액(만원)
대구광역시,남구 대명동,경일맨션,69.75,202103,12000
,남구 대명동,교대역동서프라임36.5,76.24,202103,48800
,남구 대명동,대명(3007-34),84.98,202103,19000
,남구 대명동,동아대덕,84.96,202103,22500
,남구 대명동,보성청록타운,84.99,202103,29000
,남구 대명동,새한(1701-2),73.19,202103,20000
,남구 대명동,스카이파크,78.47,202103,32000
,남구 대명동,용마맨션,71.57,202103,26700
,남구 대명동,우방코스모스,70.19,202103,37000
,남구 대명동,정우맨션,81.82,202103,21500
,남구 대명동,호창프레시앙,84.54,202103,29000
,남구 대명동,효동,81.89,202103,25000
,남구 봉덕동,강변코오롱하늘채,84.96,202103,46000
,남구 봉덕동,강변코오롱하늘채,84.99,202103,46000
,남구 봉덕동,대덕1차,84.87,202103,30500
,남구 봉덕동,대덕1차,84.87,202103,36400
,남구 봉덕동,대덕1차,84.87,202103,30800
,남구 봉덕동,대덕2차,84.99,202103,31900
,남구 봉덕동,미리내,84.19,202103,30000
,남구 봉덕동,미리내,84.19,202103,32000
,남구 봉덕동,발트하임,84.90,202103,39000
,남구 봉덕동,발트하임,84.90,202103,39000
,남구 봉덕동,앞산보성,66.69,202103,24000
,남구 봉덕동,앞산서한이다음,77.17,202103,50000
,남구 봉덕동,앞산서한이다음,67.13,202103,42000
,남구 봉덕동,한우그랜드,75.96,202103,24500
,남구 봉덕동,효성타운1차,84.90,202103,43700
,남구 봉덕동,효성타운1차,84.90,202103,41500
,남구 봉덕동,효성타운1차,84.90,202103,42000
,남구 봉덕동,효성타운2차,84.90,202103,36000
,남구 봉덕동,효성타운2차,84.90,202103,37500
,남구 이천동,대구이천주공1,84.98,202103,36000
,남구 이천동,보성상아맨션,84.74,202103,41000
,남구 이천동,이천주공2단지,84.84,202103,37500
,남구 이천동,이천주공2단지,84.84,202103,37900
,남구 이천동,조은사람조은집,80.91,202103,29700
,남구 이천동,청솔한아름,76.37,202103,31800
,남구 이천동,청솔한아름,76.37,202103,31000
